"period","site","date.3","date.1","datasource","tag_start","tag_end","tag_lost","ratio_loss","period_day","para1","para2"
"2016-Aug","Manley","2016-09-05","2016-08-10","metrics",16,6,10,0.625,26,6.5,10.5
"2016-Aug","North","2016-09-05","2016-08-10","metrics",16,14,2,0.125,26,14.5,2.5
"2016-Aug","Second","2016-09-05","2016-08-10","metrics",17,8,9,0.529411764705882,26,8.5,9.5
"2016-Jul","Manley","2016-08-13","2016-07-21","metrics",16,9,7,0.4375,23,9.5,7.5
"2016-Jul","North","2016-08-10","2016-07-21","metrics",16,15,1,0.0625,20,15.5,1.5
"2016-Jul","Second","2016-08-14","2016-07-20","metrics",16,8,8,0.5,25,8.5,8.5
"2016-Jun","Manley","2016-07-21","2016-06-11","metrics",14,12,2,0.142857142857143,40,12.5,2.5
"2016-Jun","Manley",NA,"2016-06-15","additional",26,NA,NA,NA,NA,NA,NA
"2016-Jun","North","2016-07-21","2016-06-09","metrics",16,15,1,0.0625,42,15.5,1.5
"2016-Jun","North",NA,"2016-06-13","additional",24,NA,NA,NA,NA,NA,NA
"2016-Jun","Second","2016-07-20","2016-06-09","metrics",16,7,9,0.5625,41,7.5,9.5
"2016-Jun","Second",NA,"2016-06-17","additional",30,NA,NA,NA,NA,NA,NA
"2016-May","Manley","2016-06-15","2016-05-20","metrics",16,16,0,0,26,16.5,0.5
"2016-May","Manley","2016-06-15","2016-05-26","additional",34,28,6,0.176470588235294,20,28.5,6.5
"2016-May","North","2016-06-09","2016-05-20","metrics",12,10,2,0.166666666666667,20,10.5,2.5
"2016-May","North","2016-06-13","2016-05-26","additional",25,19,6,0.24,18,19.5,6.5
"2016-May","Second","2016-06-09","2016-05-21","metrics",15,14,1,0.0666666666666667,19,14.5,1.5
"2016-May","Second","2016-06-13","2016-05-27","additional",15,11,4,0.266666666666667,17,11.5,4.5
"2016-May","Second","2016-06-17","2016-05-27","additional",15,12,3,0.2,21,12.5,3.5
"2016-Nov","North","2017-04-11","2016-11-12","metrics",16,2,14,0.875,150,2.5,14.5
"2016-Nov","Second","2017-04-08","2016-11-17","metrics",15,0,15,1,142,0.5,15.5
"2016-Sep","Manley","2016-11-18","2016-09-05","metrics",15,0,15,1,74,0.5,15.5
"2016-Sep","North","2016-11-12","2016-09-05","metrics",15,7,8,0.533333333333333,68,7.5,8.5
"2016-Sep","Second","2016-11-17","2016-09-05","metrics",15,5,10,0.666666666666667,73,5.5,10.5
"2017-Aug","Manley","2017-11-20","2017-08-24","additional",1,0,1,1,88,0.5,1.5
"2017-Aug","North","2017-11-20","2017-08-24","metrics",15,2,13,0.866666666666667,88,2.5,13.5
"2017-Aug","North","2017-11-23","2017-08-24","additional",15,2,13,0.866666666666667,91,2.5,13.5
"2017-Aug","Second","2017-11-17","2017-08-24","metrics",14,0,14,1,85,0.5,14.5
"2017-Aug","Second","2017-11-17","2017-08-28","additional",10,3,7,0.7,81,3.5,7.5
"2017-Jul","Manley","2017-08-24","2017-07-13","metrics",16,1,15,0.9375,42,1.5,15.5
"2017-Jul","Manley","2017-08-24","2017-07-17","additional",16,0,16,1,38,0.5,16.5
"2017-Jul","North","2017-08-24","2017-07-13","metrics",16,10,6,0.375,42,10.5,6.5
"2017-Jul","North","2017-08-24","2017-07-17","additional",13,6,7,0.538461538461538,38,6.5,7.5
"2017-Jul","Second","2017-08-12","2017-07-17","additional",12,3,9,0.75,26,3.5,9.5
"2017-Jul","Second","2017-08-24","2017-07-13","metrics",16,7,9,0.5625,42,7.5,9.5
"2017-Jun","Manley","2017-07-13","2017-06-03","additional",13,9,4,0.307692307692308,40,9.5,4.5
"2017-Jun","Manley","2017-07-13","2017-06-03","metrics",16,8,8,0.5,40,8.5,8.5
"2017-Jun","North","2017-07-13","2017-06-03","additional",10,8,2,0.2,40,8.5,2.5
"2017-Jun","North","2017-07-13","2017-06-03","metrics",15,10,5,0.333333333333333,40,10.5,5.5
"2017-Jun","Second","2017-07-13","2017-06-03","additional",11,9,2,0.181818181818182,40,9.5,2.5
"2017-Jun","Second","2017-07-13","2017-06-03","metrics",16,8,8,0.5,40,8.5,8.5
"2017-May","Manley","2017-06-04","2017-05-14","metrics",16,16,0,0,21,16.5,0.5
"2017-May","Manley","2017-06-04","2017-05-18","additional",11,11,0,0,17,11.5,0.5
"2017-May","North","2017-06-06","2017-05-14","metrics",15,15,0,0,23,15.5,0.5
"2017-May","North","2017-06-06","2017-05-18","additional",10,10,0,0,19,10.5,0.5
"2017-May","Second","2017-06-09","2017-05-14","metrics",14,14,0,0,26,14.5,0.5
"2017-May","Second","2017-06-09","2017-05-18","additional",11,9,2,0.181818181818182,22,9.5,2.5
"2017-Nov","North","2018-02-17","2017-11-23","additional",9,1,8,0.888888888888889,86,1.5,8.5
"2017-Nov","Second","2018-02-15","2017-11-17","additional",4,1,3,0.75,90,1.5,3.5
"2018-Aug","Manley","2018-11-20","2018-08-21","metrics",8,1,7,0.875,91,1.5,7.5
"2018-Aug","North","2018-11-20","2018-08-21","metrics",18,4,14,0.777777777777778,91,4.5,14.5
"2018-Aug","Second","2018-11-20","2018-08-21","metrics",18,6,12,0.666666666666667,91,6.5,12.5
"2018-Jul","Manley","2018-08-21","2018-07-13","metrics",18,9,9,0.5,39,9.5,9.5
"2018-Jul","North","2018-08-21","2018-07-13","metrics",14,13,1,0.0714285714285714,39,13.5,1.5
"2018-Jul","Second","2018-08-21","2018-07-13","metrics",18,13,5,0.277777777777778,39,13.5,5.5
"2018-May","Manley","2018-07-13","2018-05-22","metrics",13,13,0,0,52,13.5,0.5
"2018-May","North","2018-07-13","2018-05-22","metrics",13,13,0,0,52,13.5,0.5
"2018-May","Second","2018-07-13","2018-05-22","metrics",11,7,4,0.363636363636364,52,7.5,4.5
"2018-Nov","Manley","2019-01-14","2018-11-20","metrics",9,1,8,0.888888888888889,55,1.5,8.5
"2018-Nov","North","2019-01-13","2018-11-20","metrics",18,15,3,0.166666666666667,54,15.5,3.5
"2018-Nov","Second","2019-01-14","2018-11-20","metrics",14,14,0,0,55,14.5,0.5
"2019-Jan","Manley",NA,"2019-01-13","metrics",15,0,15,1,NA,0.5,15.5
"2019-Jan","North",NA,"2019-01-13","metrics",11,0,11,1,NA,0.5,11.5
"2019-Jan","Second",NA,"2019-01-14","metrics",14,0,14,1,NA,0.5,14.5
"2019-Jul","Manley","2019-07-19","2019-07-03","metrics",15,12,3,0.2,16,12.5,3.5
"2019-Jul","North","2019-07-19","2019-07-02","metrics",16,14,2,0.125,17,14.5,2.5
"2019-Jul","Second","2019-07-19","2019-07-02","metrics",17,11,6,0.352941176470588,17,11.5,6.5
"2019-Jul","Triquetta","2019-07-19","2019-07-03","metrics",15,11,4,0.266666666666667,16,11.5,4.5
"2020-Jul","Manley","2020-07-26","2020-07-05","metrics",15,11,4,0.266666666666667,21,11.5,4.5
"2020-Jul","North","2020-07-26","2020-07-04","metrics",15,6,9,0.6,22,6.5,9.5
"2020-Jul","Second","2020-07-26","2020-07-04","metrics",15,13,2,0.133333333333333,22,13.5,2.5
"2020-Jul","Triquetta","2020-07-25","2020-07-04","metrics",15,14,1,0.0666666666666667,21,14.5,1.5
"2021-Aug","Owen",NA,"2021-08-05","metrics",15,0,15,1,NA,0.5,15.5
"2021-Jul","Breaker","2021-07-19","2021-07-03","metrics",15,6,9,0.6,16,6.5,9.5
"2021-Jul","Manley","2021-07-18","2021-07-03","metrics",11,10,1,0.0909090909090909,15,10.5,1.5
"2021-Jul","North","2021-07-19","2021-07-02","metrics",13,12,1,0.0769230769230769,17,12.5,1.5
"2021-Jul","Ratatouille","2021-07-19","2021-07-02","metrics",11,11,0,0,17,11.5,0.5
"2021-Jul","Second","2021-07-19","2021-07-02","metrics",15,15,0,0,17,15.5,0.5
"2021-Jul","Triquetta","2021-07-18","2021-07-03","metrics",16,13,3,0.1875,15,13.5,3.5
"2021-Jun","Owen","2021-06-24","2021-06-07","metrics",16,15,1,0.0625,17,15.5,1.5
"2022-Jul","Breaker","2022-07-24","2022-07-09","metrics",16,0,16,1,15,0.5,16.5
"2022-Jul","Manley","2022-07-24","2022-07-09","metrics",16,0,16,1,15,0.5,16.5
"2022-Jul","North","2022-07-24","2022-07-08","metrics",16,0,16,1,16,0.5,16.5
"2022-Jul","Ratatouille","2022-07-24","2022-07-08","metrics",16,0,16,1,16,0.5,16.5
"2022-Jul","Second","2022-07-24","2022-07-08","metrics",19,5,14,0.736842105263158,16,5.5,14.5
"2022-Jul","Second","2022-07-24",NA,"metrics",0,0,0,NA,NA,0.5,0.5
"2022-Jul","Second",NA,"2022-07-08","metrics",1,0,1,1,NA,0.5,1.5
"2022-Jul","Triquetta","2022-07-24","2022-07-09","metrics",16,0,16,1,15,0.5,16.5
"2022-Jun","Owen",NA,"2022-06-27","metrics",12,0,12,1,NA,0.5,12.5
"2023-Jul","Breaker","2023-07-25","2023-07-09","metrics",15,14,1,0.0666666666666667,16,14.5,1.5
"2023-Jul","Manley","2023-07-26","2023-07-10","metrics",16,14,2,0.125,16,14.5,2.5
"2023-Jul","North","2023-07-25","2023-07-08","metrics",15,14,1,0.0666666666666667,17,14.5,1.5
"2023-Jul","Ratatouille","2023-07-25","2023-07-09","metrics",16,15,1,0.0625,16,15.5,1.5
"2023-Jul","Second","2023-07-25","2023-07-08","metrics",14,14,0,0,17,14.5,0.5
"2023-Jul","Triquetta","2023-07-26","2023-07-10","metrics",17,13,4,0.235294117647059,16,13.5,4.5
"2024-Jul","Breaker","2024-07-24","2024-07-20","metrics",15,15,0,0,4,15.5,0.5
"2024-Jul","Ratatouille","2024-07-24","2024-07-20","metrics",15,15,0,0,4,15.5,0.5
"2024-Jul","Triquetta","2024-07-24","2024-07-20","metrics",15,15,0,0,4,15.5,0.5
"2025-Jul","Breaker","2025-07-21","2025-07-10","metrics",15,14,1,0.0666666666666667,11,14.5,1.5
"2025-Jul","McMullins_west",NA,"2025-07-03","metrics",15,0,15,1,NA,0.5,15.5
"2025-Jul","North","2025-07-21","2025-07-10","metrics",16,16,0,0,11,16.5,0.5
"2025-Jul","Robert_rocks_south",NA,"2025-07-03","metrics",16,0,16,1,NA,0.5,16.5
"2025-Jul","Triquetta","2025-07-21","2025-07-10","metrics",16,14,2,0.125,11,14.5,2.5
"2026-Jul","Breaker","2026-07-20","2026-07-04","metrics",14,8,6,0.428571428571429,16,8.5,6.5
"2026-Jul","North","2026-07-18","2026-07-03","metrics",14,8,6,0.428571428571429,15,8.5,6.5
"2026-Jul","Second","2026-07-18","2026-07-03","metrics",14,13,1,0.0714285714285714,15,13.5,1.5
"2026-Jul","Triquetta","2026-07-19","2026-07-04","metrics",13,10,3,0.230769230769231,15,10.5,3.5
