interval,period,site,diver,date1,time1,time1_decimal,transect,side,dist,tag1,stipeL1,bladeL1,Bwidth,Psori1,distP1,obladeL1,Bcount1,Sbulb_max1,comments,date2,tag2,time2,time2_decimal,Bcount2,Sbulb_max2,distP2,obladeL2,presence2,comments,date3,presence3,tag3,time3,time3_decimal,stipeL3,Bcount3,Sbulb_max3,comments,Bgrowth_rate,Sgrowth_rate,Bcount_growth,Berosion_rate
1,2016-May,North,NR,2016-05-20,15:40:00,15.7,3,L,12.75,1701,108,74,na,0,18,50,na,na,,2016-05-26,1701,13:26:00,13.43,19,na,66.4,107.5,y,,2016-06-09,y,1701,13:30:00,13.5,268,29,na,,8.196,8.037,0.714,1.541
1,2016-May,North,AM,2016-05-20,15:40:00,15.7,3,L,16.2,1703,64,65,na,0,25,75,na,na,,2016-05-26,1703,13:26:00,13.43,10,na,64.3,106.6,y,,2016-06-09,y,1703,13:30:00,13.5,250,26,na,,6.655,9.343,1.143,-1.304
1,2016-May,North,AM,2016-05-20,15:40:00,15.7,3,L,16.2,1743,117,120,na,0,40,116,na,na,,2016-05-26,1743,13:26:00,13.43,20,na,94.5,125.6,y,,2016-06-09,n,1743,13:30:00,13.5,na,na,na,not found,9.229,na,na,-7.603
1,2016-May,North,AM,2016-05-20,15:40:00,15.7,2,L,18,1815,116,70,na,0,20,60,na,na,,2016-05-26,1815,13:26:00,13.43,20,na,60,89.9,y,,2016-06-09,y,1815,13:30:00,13.5,343,45,na,,6.773,11.402,1.785,-1.710
1,2016-May,North,AM,2016-05-20,15:40:00,15.7,2,L,5.6,1873,100,90,na,0,25,88,na,na,,2016-05-26,1873,13:26:00,13.43,20,na,82,146.6,y,,2016-06-09,y,1873,13:30:00,13.5,302,42,na,,9.652,10.147,1.571,0.271
1,2016-May,North,NR,2016-05-20,15:40:00,15.7,2,R,19.5,1992,65.5,33,na,0,9,28,na,na,nothing on line #1right side,2016-05-26,1992,13:26:00,13.43,8,na,35.6,57.8,y,,2016-06-09,y,1992,13:30:00,13.5,175,20,na,,4.504,5.500,0.857,0.542
1,2016-May,North,AM,2016-05-20,15:40:00,15.7,3,L,14.1,2007,244,140,na,0,30,106,na,na,,2016-05-26,2007,13:26:00,13.43,28,na,83.6,139.7,y,,2016-06-09,y,2007,13:30:00,13.5,465,44,na,,9.076,11.101,1.143,-3.370
1,2016-May,North,NR,2016-05-20,15:40:00,15.7,2,R,20,2059,58,25,na,0,15,44,na,na,not enough on line #3 right side (went to left),2016-05-26,2059,13:26:00,13.43,9,na,35.7,67.5,y,,2016-06-09,y,2059,13:30:00,13.5,143,19,na,,3.505,4.270,0.714,0.474
1,2016-May,North,AM,2016-05-20,15:40:00,15.7,1,L,10,2077,337,250,na,0,70,190,na,na,,2016-05-26,2077,13:26:00,13.43,74,na,na,na,y,blade stolen by seal,2016-06-09,y,2077,13:30:00,13.5,na,66,na,stipe shrunk measured 326 cm…? Could be error in either L1 or L3,na,na,-0.571,na
1,2016-May,North,NR,2016-05-20,15:40:00,15.7,3,R,5.75,2100,303,175,na,0,20,60,na,na,,2016-05-26,2100,13:26:00,13.43,33,na,71,123.5,y,,2016-06-09,n,2100,13:30:00,13.5,na,na,na,not found,8.636,na,na,2.117
1,2016-May,North,AM,2016-05-20,15:40:00,15.7,2,L,10.7,2107,59,45,na,0,15,48,na,na,,2016-05-26,2107,13:26:00,13.43,10,na,49.5,86.1,y,,2016-06-09,y,2107,13:30:00,13.5,236,32,na,,5.842,8.891,1.571,0.610
1,2016-May,North,NR,2016-05-20,15:40:00,15.7,3,L,14.1,2112,277,105,na,0,33,99,na,na,,2016-05-26,2112,13:26:00,13.43,23,na,62.6,135,y,,2016-06-09,y,2112,13:30:00,13.5,466,56,na,,5.012,9.494,2.357,1.084
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,1,L,3.6,310,137,100,na,0,30,107,na,na,,2016-05-26,310,10:35:00,10.58,27,na,49.9,124.2,y,,2016-06-15,y,310,10:30:00,10.5,189,40,na,,3.385,2.010,0.650,-0.459
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,1,L,12,313,252,110,na,0,35,115,na,na,,2016-05-26,313,10:35:00,10.58,45,na,56.9,104.6,y,,2016-06-15,y,313,10:30:00,10.5,272,57,na,,3.726,0.773,0.600,-5.495
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,3,L,13,1730,41,30,na,0,10,38,na,na,,2016-05-26,1730,10:35:00,10.58,17,na,20.2,51.6,y,,2016-06-15,y,1730,10:30:00,10.5,81,16,na,,1.735,1.546,-0.050,0.578
1,2016-May,Manley,AM,2016-05-20,13:30:00,13.5,2,L,12,1734,121,115,na,0,35,115,na,na,,2016-05-26,1734,10:35:00,10.58,34,na,61.7,140.6,y,,2016-06-15,y,1734,10:30:00,10.5,171,34,na,,4.542,1.932,0.000,-0.187
